VENDORORGANIZATIONNAME,ADDRESSLOCATIONROLES,VENDORACCOUNTNUMBER,FORMATTEDADDRESS,ADDRESSCITY,ADDRESSCOUNTRYREGIONID,ADDRESSCOUNTYID,ADDRESSDESCRIPTION,ADDRESSLOCATIONID,ADDRESSSTATEID,ADDRESSSTREET,ADDRESSSTREETNUMBER,ADDRESSVALIDFROM,ADDRESSVALIDTO,ADDRESSZIPCODE,DATAAREAID
ABEL PUMPS LP,Business;Remit to,V000049,"79 N INDUSTRIAL PARK
SEWICKLEY, PA  15143",SEWICKLEY,USA,,ABEL PUMPS LP,L000024776,PA,79 N INDUSTRIAL PARK,,12/20/2019 04:21:22,12/31/2154 23:59:59,15143,101
ABELE TRACTOR & EQUIPMENT CO,Business;Remit to,V000050,"72 EVERETT RD
ALBANY, NY  12205",ALBANY,USA,,ABELE TRACTOR & EQUIPMENT CO,L000024778,NY,72 EVERETT RD,,12/20/2019 04:21:23,12/31/2154 23:59:59,12205,101
ABSOLUTE PRESSURE CLEANING EQUIP. INC,Business;Remit to,V000057,"1702 MIDWAY RD
SUITE A
ODENTON, MD  21113",ODENTON,USA,,ABSOLUTE PRESSURE CLEANING EQUIP. INC,L000024792,MD,"1702 MIDWAY RD
SUITE A",,07/23/2024 16:56:13,12/31/2154 23:59:59,21113,101
ABSOLUTE STANDARDS INC,Business;Remit to,V000058,"PO BOX 5585
HAMDEN, CT  06518-0585",HAMDEN,USA,,ABSOLUTE STANDARDS INC,L000024794,CT,PO BOX 5585,,12/20/2019 04:21:29,12/31/2154 23:59:59,06518-0585,101
ABSOPURE WATER COMPANY,Remit to,V000059,"DEPT #158263
PO BOX 701760
PLYMOUTH, MI  48170",PLYMOUTH,USA,,ABSOPURE WATER COMPANY,L000116002,MI,"DEPT #158263
PO BOX 701760",,06-02-2021 14:08,12/31/2154 23:59:59,48170,101
ABSOPURE WATER COMPANY,Remit to,V000059,"DEPT #9410041
PO BOX 701760
PLYMOUTH, MI  48170",PLYMOUTH,USA,,ABSOPURE WATER COMPANY,L000114355,MI,"DEPT #9410041
PO BOX 701760",,05/18/2021 15:41:24,12/31/2154 23:59:59,48170,101
ABSOPURE WATER COMPANY,Remit to,V000059,"DEPT # 968474
PO BOX 701760
PLYMOUTH, MI  48170",PLYMOUTH,USA,,ABSOPURE WATER COMPANY,L000061104,MI,"DEPT # 968474
PO BOX 701760",,08-06-2019 11:57,12/31/2154 16:59:59,48170,101
ABSOPURE WATER COMPANY,Business;Remit to,V000059,"DEPT# 945876
PO BOX 701760
PLYMOUTH, MI  48170",PLYMOUTH,USA,,ABSOPURE,L000056016,MI,"DEPT# 945876
PO BOX 701760",,04-12-2019 11:31,12/31/2154 16:59:59,48170,101
ABSOPURE WATER COMPANY,Business;Remit to,V000059,"DEPT# 128324, PO BOX 701760
PLYMOUTH, MI  48170",PLYMOUTH,USA,,"ABSOPURE WATER COMPANY, INC.",L000034770,MI,"DEPT# 128324, PO BOX 701760",,03/19/2018 14:40:14,12/31/2154 16:59:59,48170,101
ABSOPURE WATER COMPANY,Business;Remit to,V000059,"DEPT 103918
PO BOX 701760
PLYMOUTH, MI  48170",PLYMOUTH,USA,,ABSOPURE,L000034769,MI,"DEPT 103918
PO BOX 701760",,04-10-2019 12:08,12/31/2154 16:59:59,48170,101
ABSOPURE WATER COMPANY,Business;Remit to,V000059,"8845 GENERAL DRIVE
PLYMOUTH, MI  48170",PLYMOUTH,USA,,ABSOPURE WATER COMPANY,L000024796,MI,8845 GENERAL DRIVE,,12/20/2019 04:21:30,12/31/2154 23:59:59,48170,101
"ACCOUNTING PRINCIPALS, INC.",Remit to,V000062,"LOCKBOX: DEPT CH 14031
PALATINE, IL  60055-4031",PALATINE,USA,,LHH RECRUITMENT SOLUTIONS,L000295846,IL,LOCKBOX: DEPT CH 14031,,10/25/2023 19:08:08,12/31/2154 23:59:59,60055-4031,101
"ACCOUNTING PRINCIPALS, INC.",Remit to,V000062,"DEPT CH 14031
PALATINE, IL  60055",PALATINE,USA,,AJILON,L000044702,IL,DEPT CH 14031,,06/20/2018 14:21:43,12/31/2154 16:59:59,60055,101
"ACCOUNTING PRINCIPALS, INC.",Business;Remit to,V000062,"50. W. BIG BEAVER RD., SUITE 475
TROY, MI  48084",TROY,USA,,"ACCOUNTING PRINCIPALS, INC.",L000024802,MI,"50. W. BIG BEAVER RD., SUITE 475",,12/20/2019 04:21:33,12/31/2154 23:59:59,48084,101
ACCURATE FIRE EQUIPMENT CO,Business;Remit to,V000065,"10528 E 12TH ST
TULSA, OK  74128",TULSA,USA,,ACCURATE FIRE EQUIPMENT CO,L000024808,OK,10528 E 12TH ST,,12/20/2019 04:18:17,12/31/2154 23:59:59,74128,101
"ACCUSTANDARD, INC.",Business;Remit to,V000066,"125 MARKET STREET
NEW HAVEN, CT  06513",NEW HAVEN,USA,,"ACCUSTANDARD, INC.",L000024810,CT,125 MARKET STREET,,12/20/2019 04:18:19,12/31/2154 23:59:59,06513,101
"ACE TRUCK REPAIR, INC.",Business;Remit to,V000074,"12 PUTNAM PLACE
PLANTSVILLE, CT  06479-2018",PLANTSVILLE,USA,,"ACE TRUCK REPAIR, INC.",L000024824,CT,12 PUTNAM PLACE,,12/20/2019 04:18:25,12/31/2154 23:59:59,06479-2018,101
ACEE - DEUCEE PORTA CAN,Business;Remit to,V000075,"441 CARLETON ROCKWOOD DR., PO BOX 346
CARLETON, MI  48117",CARLETON,USA,,ACEE - DEUCEE PORTA CAN,L000024826,MI,"441 CARLETON ROCKWOOD DR., PO BOX 346",,12/20/2019 04:18:26,12/31/2154 23:59:59,48117,101
ACCESS INTELLIGENCE LLC,Business;Remit to,V000076,"PO BOX 775986
CHICAGO, IL  60677-5986",CHICAGO,USA,,ACCESS INTELLIGENCE LLC,L000220317,IL,PO BOX 775986,,12-12-2022 00:00,12/31/2154 23:59:59,60677-5986,101
ACCESS INTELLIGENCE LLC,Remit to,V000076,"PO BOX 8927
GAITHERSBURG, MD  20898-8927",GAITHERSBURG,USA,,ACCESS INTELLIGENCE LLC: TRADEFAIR GROUP ET AL,L000034773,MD,PO BOX 8927,,03/19/2018 14:40:14,12/31/2154 16:59:59,20898-8927,101
ACCESS INTELLIGENCE LLC,Business;Remit to,V000076,"9211 CORPORATE BLVD 4TH FLOOR
ROCKVILLE, MD  20850",ROCKVILLE,USA,,ACCESS INTELLIGENCE LLC,L000024828,MD,9211 CORPORATE BLVD 4TH FLOOR,,12/20/2019 04:18:27,12/31/2154 23:59:59,20850,101
ACME NUT & BOLT CO. INC.,Business;Remit to,V000078,"414 S. OAKWOOD
DETROIT, MI  48217",DETROIT,USA,,ACME NUT & BOLT CO. INC.,L000024832,MI,414 S. OAKWOOD,,12/20/2019 04:18:29,12/31/2154 23:59:59,48217,101
ACORN ELECTRIC COMPANY,Business;Remit to,V000081,"P.O. BOX 197
ROSEVILLE, MI  48066-0197",ROSEVILLE,USA,,ACORN ELECTRIC COMPANY,L000024838,MI,P.O. BOX 197,,12/20/2019 04:18:30,12/31/2154 23:59:59,48066-0197,101
"ACRISON, INC.",Business;Remit to,V000082,"20 EMPIRE BLVD,
MOONACHIE, NJ  07074",MOONACHIE,USA,,"ACRISON, INC.",L000024840,NJ,"20 EMPIRE BLVD,",,12/20/2019 04:18:31,12/31/2154 23:59:59,07074,101
"ACTION ENVIRONMENTAL, LLC",Business;Remit to,V000083,"204 20TH STREET NORTH
BIRMINGHAM, AL  35203",BIRMINGHAM,USA,,ACTION ENVIRONMENTAL,L000024842,AL,204 20TH STREET NORTH,,06-11-2024 11:19,12/31/2154 23:59:59,35203,101
ACTION FIRE PROTECTION LLC,Business;Remit to,V000084,"34501 WEST HIGHWAY 66
BRISTOW, OK  74010",BRISTOW,USA,,ACTION FIRE PROTECTION LLC,L000041508,OK,34501 WEST HIGHWAY 66,,12/20/2019 04:18:33,12/31/2154 23:59:59,74010,101
"ACTION RESOURCES, INC.",Remit to,V000086,"PO BOX 935978
ATLANTA, GA  31193-5978",ATLANTA,USA,,"ACTION RESOURCES, INC",L000034775,GA,PO BOX 935978,,03/22/2022 20:05:19,12/31/2154 16:59:59,31193-5978,101
ADEQ FINANCIAL DIVISION,Business;Remit to,V000091,"5301 NORTHSHORE DR.
N LITTLE ROCK, AR  72118",N LITTLE ROCK,USA,,ADEQ FINANCIAL DIVISION,L000206886,AR,5301 NORTHSHORE DR.,,12-07-2022 13:53,12/31/2154 23:59:59,72118,101
ADEQ FINANCIAL DIVISION,Business;Remit to,V000091,"MERCURY SWITCH PROGRAM, 5301 NORTHSHORE DR
N LITTLE ROCK, AR  72118",N LITTLE ROCK,USA,,ADEQ FINANCIAL DIVISION,L000024857,AR,"MERCURY SWITCH PROGRAM, 5301 NORTHSHORE DR",,12/20/2019 04:18:38,12/31/2154 23:59:59,72118,101
"ADLER TANK RENTALS, LLC",Business;Remit to,V000092,"PO BOX 45081
SAN FRANCISCO, CA  94145-0081",SAN FRANCISCO,USA,,"ADLER TANK RENTALS, LLC",L000024858,CA,PO BOX 45081,,12/20/2019 04:18:39,12/31/2154 23:59:59,94145-0081,101
"ADVANCE DRUM SERVICE, INC.",Business;Remit to,V000095,"5851 RIVERVIEW ROAD SE
MABLETON, GA  30126",MABLETON,USA,,"ADVANCE DRUM SERVICE, INC.",L000024864,GA,5851 RIVERVIEW ROAD SE,,05-05-2022 18:26,12/31/2154 23:59:59,30126,101
ADVANCE INSTRUMENTS,Remit to,V000096,"3885 ST JOHNS PARKWAY
SANFORD, FL  32771",SANFORD,USA,,ADVANCE INSTRUMENTS INC,L000078810,FL,3885 ST JOHNS PARKWAY,,06/18/2020 15:03:08,12/31/2154 23:59:59,32771,101
"ADVANCED CHEMICAL TRANSPORT, INC.",Remit to,V000099,"PO BOX 8459
PASADENA, CA  91109-8359",PASADENA,USA,,ACTENVIRO,L000114499,CA,PO BOX 8459,,09/25/2024 11:33:35,12/31/2154 23:59:59,91109-8359,101
"ADVANCED CHEMICAL TRANSPORT, INC.",Remit to,V000099,"967 MAYBURY ROAD
SAN JOSE, CA  95133",SAN JOSE,USA,,"ADVANCED CHEMICAL TRANSPORT, INC.",L000046355,CA,967 MAYBURY ROAD,,08-10-2018 05:42,12/31/2154 16:59:59,95133,101
"ADVANCED CHEMICAL TRANSPORT, INC.",Business;Remit to,V000099,"1210 ELKO DRIVE
SUNNYVALE, CA  94089",SUNNYVALE,USA,,"ADVANCED CHEMICAL TRANSPORT, INC.",L000024872,CA,1210 ELKO DRIVE,,12/20/2019 04:18:45,12/31/2154 23:59:59,94089,101
ADVANCED ENERGY SOLUTIONS OF AMERICA,Remit to,V000105,"PO BOX 82973
TAMPA, FL  33682",TAMPA,USA,,ADVANCED ENERGY SOLUTIONS OF AMERICA,L000043638,FL,PO BOX 82973,,05/15/2018 08:24:36,12/31/2154 16:59:59,33682,101
ADVANCED ENERGY SOLUTIONS OF AMERICA,Business;Remit to,V000105,"16512 N. FLORIDA AVE
LUTZ, FL  33549",LUTZ,USA,,ADVANCED ENERGY SOLUTIONS OF AMERICA,L000024881,FL,16512 N. FLORIDA AVE,,12/20/2019 04:18:49,12/31/2154 23:59:59,33549,101
ADVANCED ENVIRONMENTAL LABORATORIES INC,Remit to,V000106,"PO BOX 551580
JACKSONVILLE, FL  32255-1580",JACKSONVILLE,USA,,ADVANCED ENVIRONMENTAL LABORATORIES INC,L000034780,FL,PO BOX 551580,,03/19/2018 14:40:15,12/31/2154 16:59:59,32255-1580,101
RW CONNECTIONS,Remit to,V000109,"PO BOX 287
SILVER SPRING, PA  17575",SILVER SPRING,USA,,RW CONNECTIONS,L000043330,PA,PO BOX 287,,04-10-2019 05:57,12/31/2154 16:59:59,17575,101
RW CONNECTIONS,Business;Remit to,V000109,"936 LINKS AVE
LANDISVILLE, PA  17538",LANDISVILLE,USA,,"RW CONNECTION, INC",L000034781,PA,936 LINKS AVE,,12/20/2019 04:18:51,12/31/2154 23:59:59,17538,101
RW CONNECTIONS,Business;Remit to,V000109,"30 ABERDEEEN RD
EMIGSVILLE, PA  17318",EMIGSVILLE,USA,,ADVANCED FLUID CONNECTORS,L000024888,PA,30 ABERDEEEN RD,,03/19/2018 14:01:56,12/31/2154 16:59:59,17318,101
ADVANCED FLUID SYSTEMS,Remit to,V000110,"P.O. BOX 3342
YORK, PA  17402",YORK,USA,,ADVANCED FLUID SYSTEMS INC,L000042525,PA,P.O. BOX 3342,,02/27/2023 19:37:29,12/31/2154 16:59:59,17402,101
ADVANCED SYSTEMS INDUSTRIAL PROD. LLC,Business;Remit to,V000115,"1020 W. 14 MILE ROAD
CLAWSON, MI  48017-1408",CLAWSON,USA,,ADVANCED SYSTEMS INDUSTRIAL PROD. LLC,L000024900,MI,1020 W. 14 MILE ROAD,,12/20/2019 04:18:57,12/31/2154 23:59:59,48017-1408,101
ADVANTAGE TRANSPORTATION EQUIPMENT,Remit to,V000118,"DBA ADVANTAGE TRANSPORTATION EQUIP, 6246 W STERNS ROAD
OTTAWA LAKE, MI  49267",OTTAWA LAKE,USA,,ADVANTAGE TRANSPORTATION EQUIP,L000034783,MI,"DBA ADVANTAGE TRANSPORTATION EQUIP, 6246 W STERNS ROAD",,03/19/2018 14:40:16,12/31/2154 16:59:59,49267,101
ADVANTAGE TRANSPORTATION EQUIPMENT,Business;Remit to,V000118,"3609 W. ALEXIS ROAD, SUITE 118
TOLEDO, OH  43623",TOLEDO,USA,,ADVANTAGE TRANSPORTATION EQUIPMENT,L000024906,OH,"3609 W. ALEXIS ROAD, SUITE 118",,12/20/2019 04:18:58,12/31/2154 23:59:59,43623,101
AERC RECYCLING SOLUTIONS - CLEAN EARTH,Business;Remit to,V000122,"P O BOX 95000-3755
PHILADELPHIA, PA  19195-0001",PHILADELPHIA,USA,,CLEAN EARTH,L000034786,PA,P O BOX 95000-3755,,03/19/2018 14:40:16,12/31/2154 16:59:59,19195-0001,101
AERC RECYCLING SOLUTIONS - CLEAN EARTH,Business;Remit to,V000122,"A CLEAN EARTH COMPANY, PO BOX 95000-3755
PHILADELPHIA, PA  19195",PHILADELPHIA,USA,,AERC RECYCLING SOLUTIONS,L000034785,PA,"A CLEAN EARTH COMPANY, PO BOX 95000-3755",,03/19/2018 14:40:16,12/31/2154 16:59:59,19195,101
AERC RECYCLING SOLUTIONS - CLEAN EARTH,Business;Remit to,V000122,"A CLEAN EARTH COMPANY, 334 SOUTH WARMINSTER ROAD
HATBORO, PA  19040",HATBORO,USA,,AERC RECYCLING SOLUTIONS - CLEAN EARTH,L000024914,PA,"A CLEAN EARTH COMPANY, 334 SOUTH WARMINSTER ROAD",,12/20/2019 04:19:03,12/31/2154 23:59:59,19040,101
AEROTEK ENVIRONMENTAL,Remit to,V000124,"3689 COLLECTION CENTER DR
CHICAGO, IL  60693",CHICAGO,USA,,AEROTEK PROFESSIONAL SERVICE,L000034787,IL,3689 COLLECTION CENTER DR,,03/19/2018 14:40:16,12/31/2154 16:59:59,60693,101
AEROTEK ENVIRONMENTAL,Business;Remit to,V000124,"P.O. BOX 198531
ATLANTA, GA  30384-8531",ATLANTA,USA,,AEROTEK ENVIRONMENTAL,L000024918,GA,P.O. BOX 198531,,12/20/2019 04:19:05,12/31/2154 23:59:59,30384-8531,101
AES ENVIRONMENTAL LLC A CLEAN EARTH CO,Remit to,V000126,"PO BOX 825329
PHILADELPHIA, PA  19182-5329",PHILADELPHIA,USA,,AES ENVIRONMENTAL LLC A CLEAN EARTH CO,L000076083,PA,PO BOX 825329,,05-04-2020 14:15,12/31/2154 23:59:59,19182-5329,101
AES ENVIRONMENTAL LLC A CLEAN EARTH CO,Business;Remit to,V000126,"P O BOX 95000-3755
PHILADELPHIA, PA  19195-0001",PHILADELPHIA,USA,,CLEAN EARTH,L000034789,PA,P O BOX 95000-3755,,03/19/2018 14:40:16,12/31/2154 16:59:59,19195-0001,101
AES ENVIRONMENTAL LLC A CLEAN EARTH CO,Remit to,V000126,"334 SOUTH WARMINSTER ROAD
HATBORO, PA  19040",HATBORO,USA,,CLEAN EARTH OF MORGANTOWN,L000034788,PA,334 SOUTH WARMINSTER ROAD,,03/19/2018 14:40:16,12/31/2154 16:59:59,19040,101
"AEVITAS, INC.",Business;Remit to,V000127,"7722 9TH STREET
EDMONTON, AB  T6P 1L6
CAN",EDMONTON,CAN,,"AEVITAS, INC.",L000045998,AB,7722 9TH STREET,,07/30/2018 10:23:12,12/31/2154 16:59:59,T6P 1L6,101
"AEVITAS, INC.",Remit to,V000127,"663 LYCASTE STREET
DETROIT, MI  48214",DETROIT,USA,,AEVITAS SPECIALTY SERVICES CORP,L000034790,MI,663 LYCASTE STREET,,07-06-2018 06:07,12/31/2154 16:59:59,48214,101
"AEVITAS, INC.",Business;Remit to,V000127,"75 WANLESS COURT
AYR, ON  N0B 1E0
CAN",AYR,CAN,,"AEVITAS, INC.",L000024923,ON,75 WANLESS COURT,,12/20/2019 04:19:02,12/31/2154 23:59:59,N0B 1E0,101
AFFIRMED FIRST AID & SAFETY,Business;Remit to,V000129,"10868 PORTAGE ST NW
CANAL FULTON, OH  44614",CANAL FULTON,USA,,AFFIRMED FIRST AID & SAFETY,L000024927,OH,10868 PORTAGE ST NW,,12/20/2019 04:19:04,12/31/2154 23:59:59,44614,101
"AGILENT TECHNOLOGIES, INC.",Remit to,V000136,"5301 STEVENS CREEK BLVD
SANTA CLARA, CA  95051-7201",SANTA CLARA,USA,,AGILENT TECHNOLOGIES INC,L000034793,CA,5301 STEVENS CREEK BLVD,,03/19/2018 14:40:17,12/31/2154 16:59:59,95051-7201,101
"AGILENT TECHNOLOGIES, INC.",Remit to,V000136,"4187 COLLECTIONS CENTER DRIVE
CHICAGO, IL  60693",CHICAGO,USA,,"AGILENT TECHNOLOGIES, INC.",L000034791,IL,4187 COLLECTIONS CENTER DRIVE,,03/19/2018 14:40:17,12/31/2154 16:59:59,60693,101
AIR COMPRESSOR ENERGY SYSTEMS,Business;Remit to,V000142,"6735 BRANDT STREET
ROMULUS, MI  48174",ROMULUS,USA,,AIR COMPRESSOR ENERGY SYSTEMS,L000024950,MI,6735 BRANDT STREET,,12/20/2019 04:19:10,12/31/2154 23:59:59,48174,101
AIR LINK INTERNATIONAL,Business;Remit to,V000145,"1189 N GROVE ST STE A
ANAHEIM, CA  92806-2138",ANAHEIM,USA,,D & B SUPPLY CORPORATION DBA AIR LINK INTERNATIONAL,L000034797,CA,1189 N GROVE ST STE A,,03/19/2018 14:40:17,12/31/2154 16:59:59,92806-2138,101
AIR LINK INTERNATIONAL,Business;Remit to,V000145,"DBA AIR LINK INTERNATIONAL, 1189 A N GROVE ST
ANAHEIM, CA  92806",ANAHEIM,USA,,AIR LINK INTERNATIONAL,L000024956,CA,"DBA AIR LINK INTERNATIONAL, 1189 A N GROVE ST",,12/20/2019 04:19:12,12/31/2154 23:59:59,92806,101
"AIR PRODUCTS AND CHEMICALS, INC.",Remit to,V000148,"MAIL CODE: 5701
PO BOX 71200
CHARLOTTE, NC  28272-1200",CHARLOTTE,USA,,AIR PRODUCTS AND CHEMICALS,L000049812,NC,"MAIL CODE: 5701
PO BOX 71200",,11/27/2018 12:28:32,12/31/2154 16:59:59,28272-1200,101
"AIR PRODUCTS AND CHEMICALS, INC.",Remit to,V000148,"PO BOX 935430
ATLANTA, GA  31193",ATLANTA,USA,,AIR PRODUCTS AND CHEMICALS INC,L000042662,GA,PO BOX 935430,,04/20/2018 12:05:40,12/31/2154 16:59:59,31193,101
"AIR PRODUCTS AND CHEMICALS, INC.",Business;Remit to,V000148,"7201 HAMILTON BLVD.
ALLENTOWN, PA  18195-1501",ALLENTOWN,USA,,"AIR PRODUCTS AND CHEMICALS, INC.",L000024962,PA,7201 HAMILTON BLVD.,,12/20/2019 04:19:13,12/31/2154 23:59:59,18195-1501,101
AIRGAS,Remit to,V000149,"PO BOX 734445
CHICAGO, IL  60673-4445",CHICAGO,USA,,"AIRGAS USA, LLC",L000061087,IL,PO BOX 734445,,08-06-2019 06:21,12/31/2154 16:59:59,60673-4445,101
AIRGAS,Business;Remit to,V000149,"PO BOX 676015
DALLAS, TX  75267-6015",DALLAS,USA,,"AIRGAS SOUTHWEST, INC.",L000051226,TX,PO BOX 676015,,12/19/2018 15:36:25,12/31/2154 16:59:59,75267-6015,101
AIRGAS,Business;Remit to,V000149,"PO BOX 934402
ATLANTA, GA  31193-4402",ATLANTA,USA,,AIRGAS GREAT LAKES,L000034798,GA,PO BOX 934402,,03/19/2018 14:40:18,12/31/2154 16:59:59,31193-4402,101
AIRGAS NATIONAL ACCOUNTS,Remit to,V000151,"P.O. BOX 734446
CHICAGO, IL  60673-4446",CHICAGO,USA,,AIRGAS USA LLC-FIASCO,L000266080,IL,P.O. BOX 734446,,08/14/2023 12:51:41,12/31/2154 23:59:59,60673-4446,101
AIRGAS NATIONAL ACCOUNTS,Remit to,V000151,"PO BOX 102289
PASADENA, CA  91189-2289",PASADENA,USA,,AIRGAS USA LLC,L000069704,CA,PO BOX 102289,,02/19/2020 15:18:01,12/31/2154 23:59:59,91189-2289,101
AIRGAS NATIONAL ACCOUNTS,Remit to,V000151,"PO BOX 734671
DALLAS, TX  75373-4671",DALLAS,USA,,AIRGAS USA LLC,L000064506,TX,PO BOX 734671,,10/29/2019 06:48:30,12/31/2154 16:59:59,75373-4671,101
